group_id,imt,iml,damage_state,poe,theta,beta,n_buildings_in_group,notes
G01,Sa(T1),0.05,DS1,0.025,0.145,0.498,5,T1 is the median fundamental period of buildings in this group
G01,Sa(T1),0.10,DS1,0.112,0.145,0.498,5,
G01,Sa(T1),0.15,DS1,0.232,0.145,0.498,5,
G01,Sa(T1),0.20,DS1,0.365,0.145,0.498,5,
G01,Sa(T1),0.30,DS1,0.581,0.145,0.498,5,
G01,Sa(T1),0.40,DS1,0.735,0.145,0.498,5,
G01,Sa(T1),0.50,DS1,0.835,0.145,0.498,5,
G01,Sa(T1),0.60,DS1,0.900,0.145,0.498,5,
G01,Sa(T1),0.80,DS1,0.958,0.145,0.498,5,
G01,Sa(T1),1.00,DS1,0.980,0.145,0.498,5,
G01,Sa(T1),0.05,DS2,0.006,0.265,0.471,5,
G01,Sa(T1),0.10,DS2,0.040,0.265,0.471,5,
G01,Sa(T1),0.15,DS2,0.102,0.265,0.471,5,
G01,Sa(T1),0.20,DS2,0.190,0.265,0.471,5,
G01,Sa(T1),0.30,DS2,0.372,0.265,0.471,5,
G01,Sa(T1),0.40,DS2,0.543,0.265,0.471,5,
G01,Sa(T1),0.50,DS2,0.676,0.265,0.471,5,
G01,Sa(T1),0.60,DS2,0.779,0.265,0.471,5,
G01,Sa(T1),0.80,DS2,0.909,0.265,0.471,5,
G01,Sa(T1),1.00,DS2,0.962,0.265,0.471,5,
G01,Sa(T1),0.05,DS3,0.001,0.448,0.455,5,
G01,Sa(T1),0.10,DS3,0.008,0.448,0.455,5,
G01,Sa(T1),0.15,DS3,0.028,0.448,0.455,5,
G01,Sa(T1),0.20,DS3,0.062,0.448,0.455,5,
G01,Sa(T1),0.30,DS3,0.158,0.448,0.455,5,
G01,Sa(T1),0.40,DS3,0.286,0.448,0.455,5,
G01,Sa(T1),0.50,DS3,0.421,0.448,0.455,5,
G01,Sa(T1),0.60,DS3,0.549,0.448,0.455,5,
G01,Sa(T1),0.80,DS3,0.754,0.448,0.455,5,
G01,Sa(T1),1.00,DS3,0.876,0.448,0.455,5,
G01,Sa(T1),0.05,DS4,0.000,0.720,0.489,5,
G01,Sa(T1),0.10,DS4,0.002,0.720,0.489,5,
G01,Sa(T1),0.15,DS4,0.006,0.720,0.489,5,
G01,Sa(T1),0.20,DS4,0.016,0.720,0.489,5,
G01,Sa(T1),0.30,DS4,0.051,0.720,0.489,5,
G01,Sa(T1),0.40,DS4,0.112,0.720,0.489,5,
G01,Sa(T1),0.50,DS4,0.196,0.720,0.489,5,
G01,Sa(T1),0.60,DS4,0.295,0.720,0.489,5,
G01,Sa(T1),0.80,DS4,0.494,0.720,0.489,5,
G01,Sa(T1),1.00,DS4,0.660,0.720,0.489,5,
