Building Class,Intensity Measure,Median slight damage,Logarithmic standard deviation slight,Median moderate damage,Logarithmic standard deviation moderate,Median extensive damage,Logarithmic standard deviation extensive,Median complete damage,Logarithmic standard deviation complete
RES1-H1,PGA,0.181,0.475,0.364,0.361,0.583,0.298,0.785,0.298
RES1-H1,SA(T1),0.392,0.422,0.789,0.413,1.428,0.545,2.338,0.667
RES1-H2,PGA,0.118,0.5,0.234,0.374,0.384,0.346,0.544,0.354
RES1-H2,SA(T1),0.236,0.38,0.49,0.348,0.842,0.415,1.28,0.502
RES3-H1,PGA,0.161,0.411,0.312,0.316,0.538,0.27,0.726,0.262
RES3-H1,SA(T1),0.351,0.379,0.685,0.382,1.332,0.53,2.06,0.596
RES3-H2,PGA,0.105,0.515,0.211,0.39,0.341,0.373,0.487,0.398
RES3-H2,SA(T1),0.199,0.312,0.418,0.299,0.719,0.367,1.099,0.499
RES3-H3,PGA,0.148,0.403,0.329,0.332,0.533,0.282,0.892,0.357
RES3-H3,SA(T1),0.284,0.256,0.698,0.337,1.259,0.456,2.608,0.619
RES3-H4,PGA,0.094,0.559,0.217,0.42,0.425,0.338,0.571,0.28
RES3-H4,SA(T1),0.143,0.284,0.366,0.273,0.819,0.337,1.228,0.44
RES3-H5,PGA,0.12,0.497,0.229,0.406,0.426,0.327,0.804,0.334
RES3-H5,SA(T1),0.179,0.216,0.389,0.192,0.811,0.332,1.838,0.511
RES3-H7,PGA,0.133,0.511,0.226,0.475,0.428,0.46,0.842,0.363
RES3-H7,SA(T1),0.133,0.228,0.285,0.178,0.637,0.298,1.482,0.449
COM-H1,PGA,0.179,0.574,0.327,0.484,0.517,0.473,0.748,0.455
COM-H1,SA(T1),0.372,0.565,0.708,0.56,1.221,0.625,2.117,0.734
COM-H2,PGA,0.117,0.542,0.214,0.445,0.332,0.461,0.496,0.524
COM-H2,SA(T1),0.187,0.601,0.379,0.558,0.653,0.565,1.037,0.596
COM-H3,PGA,0.083,0.61,0.175,0.518,0.305,0.521,0.428,0.552
COM-H3,SA(T1),0.096,0.558,0.236,0.549,0.482,0.516,0.734,0.573
OFF-H1,PGA,0.223,0.507,0.384,0.512,0.623,0.295,0.812,0.315
OFF-H1,SA(T1),0.483,0.423,0.829,0.492,1.481,0.504,2.398,0.668
OFF-H2,PGA,0.127,0.508,0.215,0.444,0.352,0.398,0.478,0.362
OFF-H2,SA(T1),0.255,0.427,0.442,0.465,0.767,0.496,1.115,0.512
OFF-H3,PGA,0.071,0.666,0.093,0.785,0.26,0.496,0.372,0.527
OFF-H3,SA(T1),0.112,0.464,0.152,0.69,0.478,0.443,0.715,0.505
EDU-H1,PGA,0.194,0.356,0.381,0.326,0.638,0.243,0.988,0.319
EDU-H1,SA(T1),0.428,0.356,0.839,0.411,1.772,0.602,3.88,0.822
EDU-H2,PGA,0.13,0.464,0.244,0.381,0.405,0.354,0.598,0.311
EDU-H2,SA(T1),0.265,0.345,0.519,0.379,0.923,0.476,1.479,0.503
EDU-H3,PGA,0.142,0.486,0.294,0.471,0.473,0.329,0.723,0.29
EDU-H3,SA(T1),0.22,0.332,0.521,0.319,0.924,0.363,1.632,0.463
EDU-H4,PGA,0.104,0.553,0.204,0.49,0.375,0.451,0.57,0.376
EDU-H4,SA(T1),0.113,0.332,0.272,0.244,0.6,0.295,0.964,0.307
