record_no,gm_id,nickname,source_database,redistribution,nga_record_id,earthquake_name,year,station_name,mw,mechanism,rrup_km,vs30_mps,scale_factor,D5_75_s,D5_95_s,cms_period_s,return_period_yr
1,gm001,CMS0.2s_43years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12974,30226086,2003,Healdsburg; Fire Station,4.0, strike slip,7.65,377.93,0.83,3.2,5.4,0.2,43
2,gm002,CMS0.2s_43years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12991,21305648,2003,Albany; Fire Station No. 1,4.0, strike slip,12.13,299.37,0.61,1.9,4.0,0.2,43
3,gm003,CMS0.2s_43years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),13714,40219867,2008,Lake Crowley - Hwy 395 Bridge,3.9, Normal Oblique,13.02,305.35,2.02,3.2,8.0,0.2,43
4,gm004,CMS0.2s_43years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14108,21549695,2006,Ramage Ranch_ Paso Robles_ CA_ USA,3.8, strike slip,12.02,300.0,1.41,3.5,7.5,0.2,43
5,gm005,CMS0.2s_43years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14926,21549979,2006,Hollister - South & Pine,3.7, strike slip,5.32,282.14,0.68,3.9,9.7,0.2,43
6,gm006,CMS0.2s_43years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),15393,14376612,2008,Colton_ Grape St. and W. Mill,3.99, strike slip,16.15,267.92,2.35,2.5,7.4,0.2,43
7,gm007,CMS0.2s_43years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),15655,9915709,2003,Thermal Airport,3.87, strike slip,19.82,217.84,3.97,5.6,11.4,0.2,43
8,gm008,CMS0.2s_43years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18439,21423530,2004,Parkfield - Gold Hill 1W,4.17, strike slip,19.59,214.43,2.99,9.9,23.8,0.2,43
9,gm009,CMS0.2s_43years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18446,21438324,2005,Hog Canyon,3.54, strike slip,13.04,376.0,3.31,4.2,8.1,0.2,43
10,gm0010,CMS0.2s_43years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18800,71336726,2010,Davis St._ Fremont_ CA,4.05, strike slip,19.08,271.26,1.31,5.4,10.1,0.2,43
11,gm001,CMS0.2s_100years_gm001,Local - Chiang Mai,Yes - locally recorded,SANA,Chiang Mai,2022,SANA,4.1, strike slip,10.0,300.0,2.8,,,0.2,100
12,gm002,CMS0.2s_100years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),99,Hollister-03,1974,Hollister City Hall,5.14, strike slip,9.39,198.77,0.39,3.6,10.9,0.2,100
13,gm003,CMS0.2s_100years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),229,Anza (Horse Canyon)-01,1980,Rancho De Anza,5.19, strike slip,21.32,329.0,0.66,3.3,5.4,0.2,100
14,gm004,CMS0.2s_100years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2020,Gilroy,2002,Gilroy Array #3,4.9, strike slip,9.77,349.85,0.27,2.2,6.1,0.2,100
15,gm005,CMS0.2s_100years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2057,Yorba Linda,2002,La Habra,4.265, strike slip,17.35,331.73,1.51,4.3,10.9,0.2,100
16,gm006,CMS0.2s_100years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9630,10410337,2009,Los Angeles,4.7, strike slip,17.6,307.46,4.0,3.2,13.5,0.2,100
17,gm007,CMS0.2s_100years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10837,14312160,2007,Jensen Filter Plant,4.66, Reverse,12.48,373.07,1.84,3.3,10.1,0.2,100
18,gm008,CMS0.2s_100years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11085,21530368,2006,Sonoma,4.5, strike slip,14.01,364.45,1.17,5.2,9.3,0.2,100
19,gm009,CMS0.2s_100years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11503,10275733,2007,Corona,4.73, strike slip,18.67,354.82,1.4,3.2,6.5,0.2,100
20,gm0010,CMS0.2s_100years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18496,51182151,2007,Parkfield - Cholame 5W,4.01, strike slip,21.11,236.59,3.44,1.8,8.4,0.2,100
21,gm001,CMS0.2s_225years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),374,Coalinga-02,1983,Burnett Construction,5.09, Reverse,17.4,352.2,1.4,3.7,6.0,0.2,225
