building_id,direction,DS1_slight_m,DS2_moderate_m,DS3_extensive_m,DS4_complete_m
COM-01,X,0.007514,0.018914,0.047086,0.110035
COM-01,Y,0.008949,0.021502,0.046525,0.112557
COM-02,X,0.009283,0.021319,0.048309,0.111506
COM-02,Y,0.011504,0.023536,0.051965,0.113733
COM-03,X,0.007916,0.019739,0.047742,0.111073
COM-03,Y,0.009141,0.021301,0.041870,0.111226
COM-04,X,0.009854,0.022020,0.049263,0.112459
COM-04,Y,0.011478,0.023892,0.056725,0.114219
COM-05,X,0.006972,0.018433,0.046753,0.110250
COM-05,Y,0.008638,0.020915,0.042637,0.105365
COM-06,X,0.007550,0.019534,0.047438,0.111296
COM-06,Y,0.009552,0.021808,0.043664,0.100051
COM-07,X,0.007316,0.018382,0.046385,0.110296
COM-07,Y,0.008453,0.020632,0.038141,0.068564
COM-08,X,0.007888,0.019414,0.047009,0.111130
COM-08,Y,0.008993,0.021640,0.037888,0.060968
COM-09,X,0.011113,0.024296,0.050754,0.113359
COM-09,Y,0.013814,0.027235,0.052798,0.115521
COM-10,X,0.007989,0.020348,0.048547,0.112446
COM-10,Y,0.010440,0.023384,0.081861,0.109677
COM-11,X,0.012217,0.024732,0.051156,0.114035
COM-11,Y,0.013755,0.026646,0.051888,0.115495
COM-12,X,0.008209,0.020044,0.047487,0.111452
COM-12,Y,0.009573,0.022565,0.043513,0.074205
EDU-01,X,0.007480,0.018580,0.041980,0.098414
EDU-01,Y,0.004885,0.010428,0.023821,0.054986
EDU-02,X,0.011909,0.025384,0.048553,0.103052
EDU-02,Y,0.007690,0.014837,0.027797,0.058185
EDU-03,X,0.007451,0.018150,0.042454,0.098533
EDU-03,Y,0.007429,0.017225,0.028908,0.056688
EDU-04,X,0.011372,0.025719,0.048824,0.104226
EDU-04,Y,0.011679,0.024130,0.081145,0.098416
EDU-05,X,0.007558,0.018620,0.043121,0.099086
EDU-05,Y,0.007448,0.018399,0.042933,0.100896
EDU-06,X,0.009728,0.022727,0.047962,0.106679
EDU-06,Y,0.006563,0.013878,0.026265,0.055586
EDU-07,X,0.007465,0.018320,0.042598,0.098610
EDU-07,Y,0.007233,0.018022,0.042372,0.098768
EDU-08,X,0.010476,0.024353,0.048255,0.104027
EDU-08,Y,0.009899,0.021383,0.045628,0.096983
EDU-09,X,0.018165,0.043673,0.091954,0.172338
EDU-09,Y,0.021938,0.088322,0.053671,0.085679
EDU-10,X,0.013913,0.034027,0.078267,0.159165
EDU-10,Y,0.017191,0.043912,0.059762,0.083079
EDU-11,X,0.018266,0.044410,0.089088,0.149121
EDU-11,Y,0.019254,0.044047,0.069373,0.137814
EDU-12,X,0.015443,0.034430,0.078376,0.156590
EDU-12,Y,0.015509,0.036041,0.077838,0.118177
EDU-13,X,0.015691,0.042104,0.089492,0.156610
EDU-13,Y,0.014761,0.043336,0.057456,0.092871
EDU-14,X,0.013199,0.033892,0.080390,0.159253
EDU-14,Y,0.014110,0.035475,0.061878,0.084283
EDU-15,X,0.014493,0.040399,0.086100,0.143260
EDU-15,Y,0.016728,0.042631,0.071768,0.136902
EDU-16,X,0.011983,0.030958,0.080244,0.153198
