building_id,mode,period_s,PhiRoof_X,PhiRoof_Y,Ln_X,Ln_Y,PF_X,PF_Y,Alpha_X,Alpha_Y
COM-01,1x,0.200602,-1.000000,0.000000,-179744.982459,0.000000,-0.985210,0.000000,0.544764,0.000000
COM-01,2x,0.056317,-0.113272,0.000000,144764.387811,0.000000,0.875139,0.000000,0.389728,0.000000
COM-01,1y,0.191956,0.000000,-1.000000,0.000000,-182004.969263,0.000000,-1.106929,0.000000,0.619764
COM-01,2y,0.056548,0.000000,0.123767,0.000000,-143064.688795,0.000000,-0.863964,0.000000,0.380234
COM-02,1x,0.306359,1.000000,0.000000,298177.703317,0.000000,1.065653,0.000000,0.649352,0.000000
COM-02,2x,0.098686,-0.782601,0.000000,65571.107772,0.000000,0.243628,0.000000,0.032646,0.000000
COM-02,1y,0.296972,0.000000,-1.000000,0.000000,-294168.668200,0.000000,-1.183234,0.000000,0.711306
COM-02,2y,0.099940,0.000000,-0.759265,0.000000,71602.370721,0.000000,0.272224,0.000000,0.039833
COM-03,1x,0.197436,-1.000000,0.000000,-287514.404412,0.000000,-0.994468,0.000000,0.553633,0.000000
COM-03,2x,0.057326,-0.119158,0.000000,228423.454442,0.000000,0.868221,0.000000,0.384010,0.000000
COM-03,1y,0.194966,0.000000,1.000000,0.000000,289978.923832,0.000000,1.109047,0.000000,0.622713
COM-03,2y,0.058040,0.000000,-0.126744,0.000000,226471.178878,0.000000,0.860374,0.000000,0.377287
COM-04,1x,0.301985,1.000000,0.000000,473455.345257,0.000000,1.062966,0.000000,0.647480,0.000000
COM-04,2x,0.098749,0.779964,0.000000,-106857.262921,0.000000,-0.249646,0.000000,0.034321,0.000000
COM-04,1y,0.301464,0.000000,1.000000,0.000000,467964.871801,0.000000,1.183899,0.000000,0.712781
COM-04,2y,0.101375,0.000000,-0.759472,0.000000,114852.046097,0.000000,0.274554,0.000000,0.040569
COM-05,1x,0.350199,-1.000000,0.000000,-168644.161435,0.000000,-0.948183,0.000000,0.491911,0.000000
COM-05,2x,0.058415,-0.046364,0.000000,155600.842093,0.000000,0.949196,0.000000,0.454351,0.000000
COM-05,1y,0.306813,0.000000,1.000000,0.000000,170532.502949,0.000000,1.050009,0.000000,0.550837
COM-05,2y,0.058807,0.000000,-0.052931,0.000000,154537.350949,0.000000,0.944814,0.000000,0.449162
COM-06,1x,0.509799,1.000000,0.000000,316750.084918,0.000000,0.974169,0.000000,0.630580,0.000000
COM-06,2x,0.103334,0.924668,0.000000,-27983.362631,0.000000,-0.091234,0.000000,0.005217,0.000000
COM-06,1y,0.450989,0.000000,1.000000,0.000000,313008.530174,0.000000,1.086824,0.000000,0.695192
COM-06,2y,0.105004,0.000000,0.904475,0.000000,-32938.891385,0.000000,-0.110531,0.000000,0.007440
COM-07,1x,0.347482,1.000000,0.000000,268240.915306,0.000000,0.917568,0.000000,0.476579,0.000000
COM-07,2x,0.059652,0.046535,0.000000,-247113.856884,0.000000,-0.948151,0.000000,0.453677,0.000000
COM-07,1y,0.353619,0.000000,1.000000,0.000000,268731.672750,0.000000,1.042165,0.000000,0.542284
COM-07,2y,0.060745,0.000000,0.044186,0.000000,-247718.362839,0.000000,-0.954259,0.000000,0.457716
COM-08,1x,0.505836,-1.000000,0.000000,-503297.498426,0.000000,-0.941029,0.000000,0.609334,0.000000
COM-08,2x,0.103495,0.926053,0.000000,-43883.862856,0.000000,-0.088967,0.000000,0.005023,0.000000
COM-08,1y,0.515789,0.000000,1.000000,0.000000,502168.418764,0.000000,1.070685,0.000000,0.691734
COM-08,2y,0.107235,0.000000,-0.927754,0.000000,43068.252183,0.000000,0.089024,0.000000,0.004933
COM-09,1x,0.408354,-1.000000,0.000000,-410603.592035,0.000000,-1.122148,0.000000,0.703705,0.000000
COM-09,2x,0.132270,0.833113,0.000000,-93464.331542,0.000000,-0.318652,0.000000,0.045486,0.000000
COM-09,1y,0.401201,0.000000,-1.000000,0.000000,-401567.825711,0.000000,-1.221417,0.000000,0.749101
COM-09,2y,0.133594,0.000000,0.821203,0.000000,-102493.586125,0.000000,-0.353412,0.000000,0.055322
COM-10,1x,0.644268,1.000000,0.000000,459082.961278,0.000000,0.997752,0.000000,0.699571,0.000000
COM-10,2x,0.144417,-0.928478,0.000000,39912.134890,0.000000,0.127410,0.000000,0.007767,0.000000
COM-10,1y,0.576729,0.000000,-1.000000,0.000000,-447790.309452,0.000000,-1.117313,0.000000,0.764130
COM-10,2y,0.146529,0.000000,-0.910521,0.000000,48630.341420,0.000000,0.161208,0.000000,0.011973
COM-11,1x,0.403078,-1.000000,0.000000,-651342.000679,0.000000,-1.105629,0.000000,0.692565,0.000000
COM-11,2x,0.131892,0.831920,0.000000,-150768.934446,0.000000,-0.321173,0.000000,0.046569,0.000000
COM-11,1y,0.407135,0.000000,-1.000000,0.000000,-638308.637255,0.000000,-1.221777,0.000000,0.750006
COM-11,2y,0.135509,0.000000,-0.820733,0.000000,163434.360647,0.000000,0.354816,0.000000,0.055768
COM-12,1x,0.639294,1.000000,0.000000,729280.841091,0.000000,0.961739,0.000000,0.674519,0.000000
COM-12,2x,0.144267,-0.929149,0.000000,61969.616316,0.000000,0.121297,0.000000,0.007229,0.000000
