building_id,direction,Xr1_m,Xr2_m,Xr3_m,Xr4_m,Xr5_m,Vb1_kN,Vb2_kN,Vb3_kN,Vb4_kN,Vb5_kN
COM-01,X,0.004340,0.010945,0.018415,0.030759,0.061581,745.6583,1097.4790,1134.4538,960.7843,359.1036
COM-01,Y,0.004497,0.011417,0.020931,0.037600,0.061581,864.7059,1215.0327,1195.4248,902.6144,375.8170
COM-02,X,0.004474,0.011798,0.021511,0.031064,0.062192,615.6863,1022.4090,1062.7451,967.5070,349.0196
COM-02,Y,0.005987,0.013470,0.027243,0.037274,0.061555,807.2829,1144.5378,1101.9608,909.2437,355.7423
COM-03,X,0.004221,0.010568,0.019374,0.036353,0.061424,1224.0896,1799.2530,1808.5901,1375.3501,542.4837
COM-03,Y,0.004459,0.010885,0.021437,0.036194,0.062059,1375.3501,1879.5518,1838.4687,1408.9636,546.2185
COM-04,X,0.005635,0.013421,0.024899,0.036939,0.061983,1224.3697,1725.2101,1686.5546,1372.2689,515.1261
COM-04,Y,0.005715,0.013340,0.026585,0.038785,0.062384,1239.4958,1763.8655,1701.6807,1348.7395,505.0420
COM-05,X,0.005608,0.012775,0.022148,0.033490,0.062869,277.0308,438.9356,520.7283,497.7591,327.4510
COM-05,Y,0.004190,0.010570,0.021440,0.036326,0.064523,287.1148,446.2185,554.9020,506.1625,328.5714
COM-06,X,0.006128,0.013590,0.027006,0.039548,0.063919,278.1513,438.3754,545.3782,493.2773,322.9692
COM-06,Y,0.004620,0.011447,0.026053,0.046455,0.063363,281.5126,445.6583,573.9496,471.9888,335.2941
COM-07,X,0.005139,0.012548,0.022401,0.035564,0.062837,416.3866,679.4118,803.7815,750.0000,493.6975
COM-07,Y,0.004351,0.010420,0.021771,0.032017,0.044708,335.0140,544.1643,736.8814,715.9664,564.3324
COM-08,X,0.006207,0.013589,0.019938,0.037480,0.063990,399.2530,647.2456,725.6769,668.9076,445.5649
COM-08,Y,0.004858,0.011684,0.019542,0.034622,0.048116,299.6732,518.6275,657.8431,621.2418,510.7843
COM-09,X,0.004606,0.008695,0.016038,0.032310,0.062683,530.5322,798.3193,1056.0224,1042.5770,394.9580
COM-09,Y,0.007694,0.016455,0.035647,0.048998,0.064018,807.2829,1125.4902,1081.7927,726.6106,379.2717
COM-10,X,0.006227,0.013929,0.030822,0.062290,0.121335,276.1438,445.4248,603.5948,391.1765,322.5490
COM-10,Y,0.005151,0.012024,0.031402,0.051691,0.092599,282.0261,448.6928,629.7386,425.1634,347.3856
COM-11,X,0.004023,0.008118,0.015685,0.032597,0.063219,748.7395,1268.0672,1703.3613,1651.2605,565.5462
COM-11,Y,0.003845,0.008474,0.016397,0.034556,0.064109,730.2521,1284.8739,1738.6555,1661.3445,553.7815
COM-12,X,0.005678,0.014130,0.029475,0.064677,0.115224,414.0990,693.2773,915.4995,580.2988,477.5910
COM-12,Y,0.004694,0.012079,0.031034,0.039322,0.052779,318.0672,565.1261,866.8067,823.9496,577.7311
EDU-01,X,0.003618,0.009341,0.020930,0.037959,0.049971,452.3810,800.6536,939.7759,864.1457,632.5864
EDU-01,Y,0.003194,0.006868,0.011532,0.023261,0.041280,429.8319,704.6218,801.2605,807.9832,713.8655
EDU-02,X,0.005770,0.013968,0.019328,0.032176,0.063943,438.3754,762.3716,870.6816,946.3119,608.3100
EDU-02,Y,0.005218,0.009475,0.015071,0.023663,0.046050,418.9076,640.7563,789.4958,812.1849,686.1345
EDU-03,X,0.003462,0.010441,0.021226,0.038627,0.054487,1149.6265,2225.7236,2501.1671,2219.8880,1659.6639
EDU-03,Y,0.003462,0.008900,0.012888,0.055575,0.082854,1528.0112,2654.0616,2771.7087,2099.4398,1886.5546
EDU-04,X,0.005879,0.014472,0.018889,0.031257,0.059847,1197.4790,2040.6162,2312.3249,2544.8179,1606.4426
EDU-04,Y,0.006602,0.014552,0.019772,0.028366,0.050451,1511.2045,2575.6303,2808.1232,2763.3053,1990.1961
EDU-05,X,0.004881,0.011158,0.021949,0.037889,0.053688,276.0037,547.8992,710.7376,727.9178,580.0187
EDU-05,Y,0.006009,0.011017,0.021949,0.065185,0.080560,414.1923,657.7031,712.2316,788.4220,659.9440
EDU-06,X,0.005983,0.015470,0.027176,0.035592,0.050358,276.0037,593.4641,738.3754,750.3268,601.6807
EDU-06,Y,0.004682,0.011645,0.017918,0.029395,0.089761,278.1046,540.1961,617.3203,643.4641,625.8170
EDU-07,X,0.005044,0.010983,0.022222,0.036110,0.070284,809.5238,1500.4669,1941.1765,1946.7787,1595.7049
EDU-07,Y,0.002942,0.010709,0.050730,0.066994,0.082436,759.8039,1849.9066,2083.3333,2102.0075,1749.5331
EDU-08,X,0.005513,0.014073,0.017685,0.031193,0.058208,967.5537,1784.5472,2003.9683,2309.7572,1569.7946
EDU-08,Y,0.005277,0.013209,0.026403,0.043680,0.054439,1007.2362,1989.9627,2188.3754,2167.3669,1875.5836
EDU-09,X,0.010129,0.026563,0.050911,0.081954,0.150614,515.1261,1007.5630,1478.1513,1693.2773,1568.9076
EDU-09,Y,0.007329,0.022181,0.036302,0.049328,0.118841,626.0504,1595.2381,2236.6947,2488.7955,2491.5966
EDU-10,X,0.011448,0.033019,0.061075,0.088849,0.149755,496.6387,990.7563,1389.0756,1619.3277,1552.1008
EDU-10,Y,0.010461,0.025829,0.048104,0.067419,0.146653,684.8739,1449.5798,2228.2913,2497.1989,2474.7899
EDU-11,X,0.009674,0.024982,0.051158,0.077028,0.128002,1260.5042,2343.6041,3475.2568,3904.7619,3393.0906
EDU-11,Y,0.009062,0.025441,0.047484,0.057281,0.110858,1761.4379,3905.2288,6016.3399,6375.8170,5931.3725
EDU-12,X,0.010030,0.027413,0.053988,0.084358,0.193053,1055.0887,2104.5752,3015.8730,3751.6340,3273.5761
EDU-12,Y,0.016424,0.036605,0.055586,0.075167,0.207040,2133.9869,4094.7712,5676.4706,6441.1765,6114.3791
EDU-13,X,0.012079,0.029287,0.053290,0.071923,0.124863,511.7647,999.1597,1437.8151,1646.2185,1584.0336
EDU-13,Y,0.012188,0.032465,0.042768,0.052194,0.072690,936.9748,2093.8375,2483.1933,2645.6583,2600.8403
